,initial_ke,mid1_ratio,mid2_ratio,retardation,tof_min,tof_std
0,13.0,0.08,0.8,-1.0,0.188786,7.814941392757559e-05
0,151.0,0.08,0.8,-1.0,0.0541245,1.7186327480309788e-05
0,17.0,0.08,0.8,-1.0,0.163954,5.797967816252814e-05
0,2.0,0.08,0.8,-1.0,0.608308,0.0002169491786398824
0,26.0,0.08,0.8,-1.0,0.131604,5.206280908942741e-05
0,3.0,0.08,0.8,-1.0,0.444166,0.00014974272014297245
0,301.0,0.08,0.8,-1.0,0.0383347,1.0002667230246165e-05
0,5.0,0.08,0.8,-1.0,0.320978,0.00013151311644610047
0,51.0,0.08,0.8,-1.0,0.093398,3.665023300275179e-05
0,7.0,0.08,0.8,-1.0,0.26436,9.215772294150838e-05
0,76.0,0.08,0.8,-1.0,0.0763805,2.6247228016802493e-05
0,9.0,0.08,0.8,-1.0,0.23003,8.004305823323404e-05
0,1.3,0.08,0.9,-1.0,1.02891,0.00029698566290064685
0,1.6,0.08,0.9,-1.0,0.762051,0.0002449544485829175
0,101.0,0.08,0.9,-1.0,0.0662104,2.4076976795889773e-05
0,13.0,0.08,0.9,-1.0,0.188785,8.332073956648251e-05
0,151.0,0.08,0.9,-1.0,0.0541241,1.8655687915795596e-05
0,17.0,0.08,0.9,-1.0,0.163953,7.098781823284497e-05
0,2.0,0.08,0.9,-1.0,0.608242,0.00018816056183893187
0,26.0,0.08,0.9,-1.0,0.131604,5.741083540399318e-05
0,3.0,0.08,0.9,-1.0,0.444142,0.00016262922082930928
0,301.0,0.08,0.9,-1.0,0.0383347,1.0951893605529023e-05
0,5.0,0.08,0.9,-1.0,0.320972,0.00010609224191672277
0,51.0,0.08,0.9,-1.0,0.0933983,3.975626722137189e-05
0,7.0,0.08,0.9,-1.0,0.264356,0.00011574792615010572
0,76.0,0.08,0.9,-1.0,0.0763799,2.988675065161646e-05
0,9.0,0.08,0.9,-1.0,0.230027,9.835214986014344e-05
0,1.3,0.08,0.0,-1.0,1.0315,0.00035163466226017425
0,1.6,0.08,0.0,-1.0,0.763163,0.0002672074880967687
0,101.0,0.08,0.0,-1.0,0.0662115,2.3944057297306676e-05
0,13.0,0.08,0.0,-1.0,0.188801,8.210540232846046e-05
0,151.0,0.08,0.0,-1.0,0.0541248,1.6899529966715483e-05
0,17.0,0.08,0.0,-1.0,0.163963,7.84116139288299e-05
0,2.0,0.08,0.0,-1.0,0.608811,0.0002172358841617655
0,26.0,0.08,0.0,-1.0,0.131609,6.0411994177026756e-05
0,3.0,0.08,0.0,-1.0,0.444358,0.0001698391331247854
0,301.0,0.08,0.0,-1.0,0.038335,1.0211724210685391e-05
0,5.0,0.08,0.0,-1.0,0.321049,0.00012575830543844375
0,51.0,0.08,0.0,-1.0,0.0933996,3.6875648653369267e-05
0,7.0,0.08,0.0,-1.0,0.264398,0.00012980820820207911
0,76.0,0.08,0.0,-1.0,0.0763814,2.9245925478056717e-05
0,9.0,0.08,0.0,-1.0,0.230054,0.00010348079598848837
0,1.3,0.11248,0.08,-1.0,1.0292,0.0003023686672677408
0,1.6,0.11248,0.08,-1.0,0.76204,0.00025659014943035964
0,101.0,0.11248,0.08,-1.0,0.0662102,2.2739558863893728e-05
0,13.0,0.11248,0.08,-1.0,0.18878,7.945684142522043e-05
0,151.0,0.11248,0.08,-1.0,0.054124,1.6972223187928513e-05
0,17.0,0.11248,0.08,-1.0,0.163949,7.233021080775933e-05
0,2.0,0.11248,0.08,-1.0,0.608193,0.00020998341485940658
0,26.0,0.11248,0.08,-1.0,0.131601,5.478183355877467e-05
0,3.0,0.11248,0.08,-1.0,0.444104,0.00015762884818063284
0,301.0,0.11248,0.08,-1.0,0.0383346,9.39361581563631e-06
0,5.0,0.11248,0.08,-1.0,0.320951,0.00012459234861472297
0,51.0,0.11248,0.08,-1.0,0.0933972,3.732586757093933e-05
0,7.0,0.11248,0.08,-1.0,0.264343,0.00011626790197748918
0,76.0,0.11248,0.08,-1.0,0.0763796,2.7737767883951577e-05
0,9.0,0.11248,0.08,-1.0,0.230018,9.269755088297072e-05
0,1.3,0.11248,0.1354,-1.0,1.02904,0.0002898727385343912
0,1.6,0.11248,0.1354,-1.0,0.76197,0.0002327010248127164
0,101.0,0.11248,0.1354,-1.0,0.0662102,2.3347777178142522e-05
0,13.0,0.11248,0.1354,-1.0,0.18878,6.941812559404488e-05
0,151.0,0.11248,0.1354,-1.0,0.054124,1.7381030993822175e-05
0,17.0,0.11248,0.1354,-1.0,0.163949,6.258768764422226e-05
0,2.0,0.11248,0.1354,-1.0,0.608162,0.0001868989080453417
0,26.0,0.11248,0.1354,-1.0,0.131601,5.3742051310372815e-05
0,3.0,0.11248,0.1354,-1.0,0.44409,0.0001520704437395562
0,301.0,0.11248,0.1354,-1.0,0.0383348,8.527923552143241e-06
0,5.0,0.11248,0.1354,-1.0,0.320948,0.00012313260965609479
0,51.0,0.11248,0.1354,-1.0,0.0933971,3.730521154375404e-05
